forest,muSymb,MUname,order,soil_name,Area,order_r,
ACEF,12,"Carnasaw-Townley-Pirum association, steep",Ultisols,carnasaw,1492.03,ultisols,
ACEF,21,Carnasaw-Pirum-Clebit complex,Ultisols,carnasaw,34.16,ultisols,
ACEF,24,"Clebit-Pirum-Rock outcrop complex
",Ultisols and Inceptisols,clebit,7.36,ultisols,
ACEF,34,Zafra-Leadvale complex,Ultisols,leadvale,204.50,ultisols,
ACEF,9,"Bismarck-Carnasaw complex, very stony
",Inceptisols,bismarck,0.57,inceptisols,
BCEF,793,"Ashe-Edneyville complex, 15 to 50% slopes",Inceptisols,ashe,0.74,inceptisols,
BCEF,Ac,"Ashe-Cleveland-Rock outcrop complex, 15 to 95% slope",Inceptisols,ashe,213.25,inceptisols,
BCEF,Ck,"Clifton clay loam/sandy loam/urban land, 2 to 30% slopes",Ultisols,clifton,111.07,ultisols,
BCEF,DrB,Dillard loam 1 to 5% slopes,Ultisols,dillard,2.03,ultisols,
BCEF,Ed,"Edneyville-Chestnut complex, basin, 15 to 95% slopes",Inceptisols,edneyville,563.72,inceptisols,
BCEF,Ev,"Evard-Cowee complex, 15 to 95% slopes",Ultisols,evard,808.67,ultisols,
BCEF,Fr,"French loam, 0 to 3% slopes",Inceptisols,french,19.20,inceptisols,
BCEF,Fr,"French loam, 0 to 3% slopes, occasionally flooded",Inceptisols,french,1.64,inceptisols,
BCEF,HpA,"Hemphill loam, 0 to 3% slopes, rarely flooded",Alfisols,hemphill,1.07,alfisols,
BCEF,IoA,"Iotla loam, 0 to 2% slopes, occasionally flooded",Inceptisols,iotla,17.49,inceptisols,
BCEF,NkA,"Nikwasi loam, 0 to 2%, frequently flooded",Inceptisols,nikwasi,2.24,inceptisols,
BCEF,Pw,"Porters-Unaka complex, 15 to 95% slopes",Inceptisols,porters,177.78,inceptisols,
BCEF,RdA,"Reddies sandy loam, 0 to 3% slopes, occasional flooding",Inceptisols,reddies,25.32,inceptisols,
BCEF,RkF,"Rock outcrop-Cleveland complex, 30 to 95% slopes",Inceptisols,cleveland,2.11,inceptisols,
BCEF,RsA,"Rosman fine sandy loam, o to 3%, occasional flooding",Inceptisols,rosman,1.12,inceptisols,
BCEF,Ta,"Tate loam, 2 to 30% slopes",Ultisols,tate,235.04,ultisols,
BCEF,To,"Toecane-Tusquitee complex, 8 to 50% slopes, bouldery",Inceptisols,tusquitee,334.13,inceptisols,
BCEF,TtE,"Trimont loam 30 to 50% slopes, stony",Ultisols,trimont,0.25,ultisols,
BCEF,UkF,"Unaka-Rock outcrop complex, 50 to 95% slopes, very bouldery",Inceptisols,unaka,59.80,inceptisols,
BCEF,Wt,"Whiteside loam, 2 to 15% slopes",Ultisols,whiteside,13.01,ultisols,
BVEF,CaE,Cashiers gravelly fine sandy loam,Inceptisols,cashiers,47.11,inceptisols,
BVEF,Cd,Chandler gravelly fine sandy loam,Inceptisols,chandler,97.70,inceptisols,
BVEF,Cu,Cullasaja-Tuckasegee complex,Inceptisols,cullasaja,81.30,inceptisols,
BVEF,EPF,"Edneyville-Ashe association, stony, steep",Inceptisols,edneyville,0.07,inceptisols,
BVEF,EVF,"Evard association, steep",Ultisols,evard,0.06,ultisols,
BVEF,EdE,"Edneyville-Chestnut complex, high precipitation",Inceptisols,edneyville,0.12,inceptisols,
BVEF,Fa,Fannin fine sandy loam,Ultisols,fannin,251.30,ultisols,
BVEF,PCG,"Porters association, stony, very steep",Inceptisols,porters,0.03,inceptisols,
BVEF,ReA,Reddies fine sandy loam,Inceptisols,reddies,6.31,inceptisols,
BVEF,Sb,Saunook loam/ gravelly loam,Ultisols,saunook,72.20,ultisols,
BVEF,TVF,"Tusquitee-Haywood association, steep",Inceptisols,tusquitee,0.27,inceptisols,
BVEF,ToA,Toxaway loam,Inceptisols,toxaway,1.94,inceptisols,
CEF,Ap,Appling loamy sand 2-10% slope,Ultisols,appling,70.83,ultisols,
CEF,Bu,Buncombe sand,Entisols,buncombe,11.20,entisols,
CEF,Ca,Cartecay-Toccoa complex,Entisols,cartecay,158.19,entisols,
CEF,Cd,Catula sandy clay loam 6-10% slope,Ultisols,catula,7.84,ultisols,
CEF,Cd,Catula sandy loam 6-10% slope,Ultisols,catula,131.34,ultisols,
