,forest,geoProv,geoDesc,order_r,soil_name,muSymb_x,Area,C_sum,N_sum,C_Mg
227,OEF,piedmont,"coastal plains, flats",spodosols,sapelo,47,50.38,893.25,37.01,45002.08
267,SEF,coastal plain,"coastal plains, flats",ultisols,rains,Ra,5.07,402.77,39.19,2042.03
219,OEF,piedmont,"coastal plains, flats",ultisols,pelham,37,214.33,873.73,45.28,187265.88
198,HaEF,coastal plain,"coastal plains, flats",histols,ponzer,Ps,334.32,14074.87,425.88,4705510.8
270,SEF,coastal plain,"coastal plains, uplands",ultisols,caroline,CoB,14,0,0,0
141,EEF,coastal plain,"coastal plains, uplands",ultisols,escambia,Es,5.76,178.8,6.37,1029.9
167,EEF,coastal plain,"coastal plains, uplands",ultisols,flomaton,Fl,9.15,0,0,0
125,ChEF,coastal plain,"coastal plains, uplands",entisols,foxworth,31,63.14,225.08,10.77,14211.54
119,ChEF,coastal plain,"coastal plains, uplands",ultisols,fuquay,32,3.32,111.96,12.72,371.72
154,EEF,coastal plain,"coastal plains, uplands",ultisols,fuquay,14,0.74,55.98,6.36,41.43
126,ChEF,coastal plain,"coastal plains, uplands",entisols,lakeland,36,38.46,444.49,56.96,17095.13
127,ChEF,coastal plain,"coastal plains, uplands",ultisols,lakeland,66,3.63,444.49,56.96,1613.5
128,ChEF,coastal plain,"coastal plains, uplands",entisols,lakeland,36,38.46,444.49,56.96,17095.13
129,ChEF,coastal plain,"coastal plains, uplands",ultisols,lakeland,66,3.63,444.49,56.96,1613.5
122,ChEF,coastal plain,"coastal plains, uplands",ultisols,leefield,39,0.61,116.18,3.35,70.87
316,TEF,coastal plain,"coastal plains, uplands",alfisols,lexington,3,41.34,37.98,11.89,1569.95
327,TEF,coastal plain,"coastal plains, uplands",alfisols,maben,50,0.04,0,0,0
230,PEF,coastal plain,"coastal plains, uplands",ultisols,malbis,MaC,559.03,268.23,20.48,149949.27
165,EEF,coastal plain,"coastal plains, uplands",ultisols,orangeburg,Or,40.41,127.15,9.04,5138.12
166,EEF,coastal plain,"coastal plains, uplands",ultisols,poarch,Po,2.66,60.48,3.25,160.87
203,HaEF,coastal plain,"coastal plains, uplands",ultisols,poarch,Po,454.35,1088.6,58.52,494604.69
134,EEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Ru,5.09,43.54,3.91,221.6
186,HaEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Ru,424.06,391.83,35.21,166159.94
231,PEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Rs,2.16,217.68,19.56,470.2
232,PEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Rs,438.6,217.68,19.56,95476.2
157,EEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Ru,5.09,43.54,3.91,221.6
201,HaEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Ru,424.06,391.83,35.21,166159.94
244,PEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Rs,2.16,217.68,19.56,470.2
245,PEF,coastal plain,"coastal plains, uplands",ultisols,ruston,Rs,438.6,217.68,19.56,95476.2
280,SFAEF,coastal plain,"coastal plains, uplands",inceptisols,sacul,56,91.51,167.04,13.21,15285.81
194,HaEF,coastal plain,"coastal plains, uplands",ultisols,saucier,Sf,106.03,2203.46,124.61,233633.28
195,HaEF,coastal plain,"coastal plains, uplands",ultisols,saucier,ShC,126.32,2203.46,124.61,278341.56
196,HaEF,coastal plain,"coastal plains, uplands",ultisols,saucier,SnB,1.45,2203.46,124.61,3195.02
197,HaEF,coastal plain,"coastal plains, uplands",ultisols,saucier,SnB,56,2203.46,124.61,123393.98
